1755339299, 20m, 14076254, FT8, 2W0XGN, IO82NW, 294, Rx, DC9YH, JO40LM, 230, -16
1755339299, 20m, 14075020, FT8, 2W0XGN, IO82NW, 294, Rx, PD1BJO, JO32AP, 263, -14
1755339314, 20m, 14075388, FT8, 2W0XGN, IO82NW, 294, Rx, IV3CTT, JN65ST, 248, -10
1755339314, 20m, 14075313, FT8, 2W0XGN, IO82NW, 294, Rx, SP6CJE, JO81LD, 269, -17
1755339329, 20m, 14075463, FT8, 2W0XGN, IO82NW, 294, Rx, F4MMF, JN36EW, 227, -12
1755339329, 20m, 14075749, FT8, 2W0XGN, IO82NW, 294, Rx, IW3BYL, JN56NC51, 248, -13
1755339344, 20m, 14075427, FT8, 2W0XGN, IO82NW, 294, Rx, HA1ZW, JN86JT97, 239, -11
1755339358, 20m, 14075754, FT8, 2W0XGN, IO82NW, 294, Rx, UR5LAK, KN89KL41, 288, -12
1755339388, 20m, 14075237, FT8, 2W0XGN, IO82NW, 294, Rx, 9A5E, JN75UV, 497, -11
1755339389, 20m, 14075241, FT8, 2W0XGN, IO82NW, 294, Rx, CR7BTW, IN52SA, 272, -11
1755339389, 20m, 14076423, FT8, 2W0XGN, IO82NW, 294, Rx, SP9OJ, JN99HW27, 269, -18
1755339403, 20m, 14075550, FT8, 2W0XGN, IO82NW, 294, Rx, S55X, JN76LI, 499, -5
1755339404, 20m, 14075882, FT8, 2W0XGN, IO82NW, 294, Rx, OH5UY, KP20, 224, -7
1755339404, 20m, 14076053, FT8, 2W0XGN, IO82NW, 294, Rx, UW8SM, KN28IV27HA, 288, -19
1755339404, 20m, 14076540, FT8, 2W0XGN, IO82NW, 294, Rx, N1MGO, FN42AN, 291, -18
1755339418, 20m, 14076795, FT8, 2W0XGN, IO82NW, 294, Rx, DL1HQN, JO61BJ, 230, -5
1755339419, 20m, 14074752, FT8, 2W0XGN, IO82NW, 294, Rx, EA1C, IN72JP, 281, 0
1755339419, 20m, 14076541, FT8, 2W0XGN, IO82NW, 294, Rx, DG2MFB, JN49JB, 230, -8
1755339120, 20m, 14075269, FT8, G7JUR, IO91OF57, 223, Rx, HB9ELZ, JN47LL, 287, -10
1755339120, 20m, 14076075, FT8, G7JUR, IO91OF57, 223, Rx, R2SAF, KO94VL63, 54, -8
1755339120, 20m, 14076825, FT8, G7JUR, IO91OF57, 223, Rx, SM7OYP, JO66JA, 284, -13
1755339135, 20m, 14076209, FT8, G7JUR, IO91OF57, 223, Rx, SP9JCN, JO90LI15, 269, -11
1755339165, 20m, 14074753, FT8, G7JUR, IO91OF57, 223, Rx, DL6ZOG, JO52LM, 230, -12
1755339180, 20m, 14075388, FT8, G7JUR, IO91OF57, 223, Rx, SP6SOZ, JO80US22, 269, -12
1755339210, 20m, 14074953, FT8, G7JUR, IO91OF57, 223, Rx, OE6TNO, JN77RC, 206, -9
1755339225, 20m, 14075188, FT8, G7JUR, IO91OF57, 223, Rx, SM6KKX, JO67DB, 284, -12
1755339240, 20m, 14074719, FT8, G7JUR, IO91OF57, 223, Rx, EA4GWT, IN80HJ, 281, -12
1755339270, 20m, 14075950, FT8, G7JUR, IO91OF57, 223, Rx, RN1CW, KO59LM, 54, -11
