2025-08-15_19:38:11, 2m, 144175705, FT8, G0GXT, IO82RL, 223, Rx, PD1CMP, JO21NT10, 263, -8
2025-08-15_19:33:58, 2m, 144175269, FT8, G4PIQ, JO02OD, 223, Rx, G0GXT, IO82RL, 223, -7
2025-08-15_19:37:29, 2m, 144175483, FT8, G4PIQ, JO02OD, 223, Rx, PA3DZM, JO21MN57, 263, -16
2025-08-15_19:37:43, 2m, 144175858, FT8, G4PIQ, JO02OD, 223, Rx, PD1CMP, JO21NT10, 263, 5
2025-08-15_19:37:58, 2m, 144175813, FT8, G4PIQ, JO02OD, 223, Rx, F6ASP, JO00WW, 227, -15
2025-08-15_19:33:56, 2m, 144174140, FT8, G8DGR, IO91JJ, 223, Rx, G0GXT, IO82RL, 223, -11
2025-08-15_19:35:29, 2m, 144174374, FT8, G8DGR, IO91JJ, 223, Rx, F6ASP, JO00WW, 227, -19
2025-08-15_19:37:41, 2m, 144174613, FT8, G8DGR, IO91JJ, 223, Rx, PD1CMP, JO21NT10, 263, -8
2025-08-15_19:38:59, 2m, 144176121, FT8, M0MST, IO82XB, 223, Rx, G8SEI, IO92FO, 223, -9
2025-08-15_19:33:45, 2m, 144175553, FT8, G0CUZ-2, IO82WM, 223, Rx, G0GXT, IO82RL, 223, 11
